hyperparameters,languages,1_translated,1_untranslated,2_translated,2_untranslated,3_translated,3_untranslated
xlm-roberta-base,en,,0.9528301954269409,,0.9622641801834106,,0.9716981053352356
24,lv,0.8867924809455872,0.849056601524353,0.9528301954269409,0.9433962106704712,0.9245283007621765,0.9056603908538818
20,ru,0.9245283007621765,0.9245283007621765,0.9528301954269409,0.9433962106704712,0.9245283007621765,0.9245283007621765
0.001,et,0.8867924809455872,0.9433962106704712,0.9528301954269409,0.8773584961891174,0.8962264060974121,0.698113203048706
200,lt,0.8867924809455872,0.9245283007621765,0.9622641801834106,0.9528301954269409,0.8773584961891174,0.801886796951294
