hyperparameters,languages,1_translated,1_untranslated,2_translated,2_untranslated,3_translated,3_untranslated
xlm-roberta-base,en,,0.9528301954269409,,0.9528301954269409,,0.9646226614713669
16,lv,0.9033018946647644,0.8891509473323822,0.9363207519054413,0.9433962255716324,0.9339622557163239,0.8773584961891174
20,ru,0.9245283007621765,0.9174528270959854,0.9174528270959854,0.9457547068595886,0.9198113083839417,0.9198113232851028
0.0001,et,0.8844339847564697,0.9268867820501328,0.9174528270959854,0.8867924511432648,0.8985849022865295,0.7216981053352356
200,lt,0.9056603759527206,0.9103773534297943,0.9363207519054413,0.9481132179498672,0.8938679248094559,0.7476415038108826
