hyperparameters,languages,1_translated,1_untranslated,2_translated,2_untranslated,3_translated,3_untranslated
bert-base-multilingual-cased,en,,0.8348624110221863,,0.8623853325843811,,0.8256880640983582
16,lv,0.8165137767791748,0.8623853325843811,0.8348624110221863,0.8348624110221863,0.78899085521698,0.4678899049758911
20,ru,0.7614678740501404,0.7981651425361633,0.7614678740501404,0.8348624110221863,0.7981651425361633,0.5596330165863037
0.0001,et,0.8165137767791748,0.8348624110221863,0.8165137767791748,0.7431192398071289,0.8165137767791748,0.4678899049758911
200,lt,0.8256880640983582,0.7798165082931519,0.8348624110221863,0.8165137767791748,0.78899085521698,0.6238532066345215
