hyperparameters,languages,1_translated,1_untranslated,2_translated,2_untranslated,3_translated,3_untranslated
xlm-roberta-base,en,,0.7706422209739685,,0.78899085521698,,0.7064220309257507
16,lv,0.6788991093635559,0.6330274939537048,0.78899085521698,0.78899085521698,0.752293586730957,0.47706422209739685
20,ru,0.6788991093635559,0.7339449524879456,0.752293586730957,0.752293586730957,0.642201840877533,0.5229358077049255
0.0001,et,0.6605504751205444,0.6972476840019226,0.7339449524879456,0.78899085521698,0.6513761281967163,0.4954128563404083
200,lt,0.6972476840019226,0.642201840877533,0.7798165082931519,0.7431192398071289,0.7064220309257507,0.4587155878543854
