hyperparameters,languages,1_translated,1_untranslated,2_translated,2_untranslated,3_translated,3_untranslated
xlm-roberta-base,en,,0.5254237055778503,,0.6101694703102112,,0.6101694703102112
8,lv,0.37288135290145874,0.4576271176338196,0.6779661178588867,0.6779661178588867,0.49152541160583496,0.2542372941970825
20,ru,0.47457626461982727,0.49152541160583496,0.5932203531265259,0.5932203531265259,0.49152541160583496,0.37288135290145874
0.0001,et,0.37288135290145874,0.508474588394165,0.6440678238868713,0.5932203531265259,0.5254237055778503,0.2542372941970825
200,lt,0.5423728823661804,0.4237288236618042,0.694915235042572,0.6440678238868713,0.6271186470985413,0.23728813230991364
