hyperparameters,languages,1_translated,1_untranslated,2_translated,2_untranslated,3_translated,3_untranslated
bert-base-multilingual-cased,en,,0.8715596199035645,,0.8256880640983582,,0.7981651425361633
16,lv,0.8165137767791748,0.78899085521698,0.7981651425361633,0.7981651425361633,0.7981651425361633,0.5137614607810974
20,ru,0.7614678740501404,0.7614678740501404,0.7706422209739685,0.752293586730957,0.8165137767791748,0.60550457239151
0.0001,et,0.8073394298553467,0.8165137767791748,0.7614678740501404,0.7981651425361633,0.7981651425361633,0.5779816508293152
200,lt,0.7614678740501404,0.7706422209739685,0.8165137767791748,0.7614678740501404,0.7706422209739685,0.4678899049758911
