hyperparameters,languages,1_translated,1_untranslated,2_translated,2_untranslated,3_translated,3_untranslated
xlm-roberta-base,en,,0.5593220591545105,,0.694915235042572,,0.5593220591545105
8,lv,0.32203391194343567,0.5254237055778503,0.6440678238868713,0.7457627058029175,0.35593220591545105,0.2881355881690979
20,ru,0.4576271176338196,0.5593220591545105,0.5932203531265259,0.6101694703102112,0.4237288236618042,0.2711864411830902
0.0001,et,0.37288135290145874,0.47457626461982727,0.5762711763381958,0.7288135886192322,0.4237288236618042,0.2881355881690979
200,lt,0.5254237055778503,0.47457626461982727,0.6271186470985413,0.6779661178588867,0.508474588394165,0.3050847351551056
