hyperparameters,languages,1_translated,1_untranslated,2_translated,2_untranslated,3_translated,3_untranslated
xlm-roberta-base,en,,0.7247706651687622,,0.7706422209739685,,0.6972476840019226
16,lv,0.7064220309257507,0.5963302850723267,0.7798165082931519,0.7339449524879456,0.7155963182449341,0.4128440320491791
20,ru,0.642201840877533,0.6972476840019226,0.78899085521698,0.7706422209739685,0.6697247624397278,0.5137614607810974
0.0001,et,0.6238532066345215,0.7431192398071289,0.7981651425361633,0.7614678740501404,0.6697247624397278,0.5412843823432922
200,lt,0.6880733966827393,0.642201840877533,0.7706422209739685,0.7339449524879456,0.6788991093635559,0.3761467933654785
