hyperparameters,languages,1_translated,1_untranslated,2_translated,2_untranslated,3_translated,3_untranslated
bert-base-multilingual-cased,en,,0.6779661178588867,,0.6271186470985413,,0.6440678238868713
8,lv,0.6779661178588867,0.6271186470985413,0.7288135886192322,0.6271186470985413,0.5762711763381958,0.2881355881690979
20,ru,0.6440678238868713,0.7118644118309021,0.7627118825912476,0.6440678238868713,0.6610169410705566,0.4237288236618042
0.0001,et,0.6101694703102112,0.5932203531265259,0.8474576473236084,0.5932203531265259,0.6271186470985413,0.4067796468734741
200,lt,0.6101694703102112,0.6101694703102112,0.7288135886192322,0.6610169410705566,0.6101694703102112,0.35593220591545105
