hyperparameters,languages,1_translated,1_untranslated,2_translated,2_untranslated,3_translated,3_untranslated
xlm-roberta-base,en,,0.5084745734930038,,0.665254220366478,,0.5805084854364395
8,lv,0.37288136035203934,0.5,0.6694915294647217,0.7033898383378983,0.4449152499437332,0.2923728823661804
20,ru,0.41525423526763916,0.512711875140667,0.6440678089857101,0.6228813529014587,0.4406779706478119,0.33898305147886276
0.0001,et,0.37288136035203934,0.466101698577404,0.6483050882816315,0.6567796766757965,0.4788135588169098,0.3050847426056862
200,lt,0.5847457647323608,0.47457627207040787,0.6906779706478119,0.6567796766757965,0.5805084854364395,0.27542372792959213
