hyperparameters,languages,1_translated,1_untranslated,2_translated,2_untranslated,3_translated,3_untranslated
xlm-roberta-base,en,,0.7247706651687622,,0.78899085521698,,0.6972476840019226
16,lv,0.6788991093635559,0.6788991093635559,0.7798165082931519,0.7247706651687622,0.7247706651687622,0.3486238420009613
20,ru,0.6146789193153381,0.6788991093635559,0.7431192398071289,0.7614678740501404,0.642201840877533,0.4587155878543854
0.0001,et,0.5779816508293152,0.7155963182449341,0.7155963182449341,0.78899085521698,0.6880733966827393,0.4403669834136963
200,lt,0.6972476840019226,0.5779816508293152,0.7431192398071289,0.7614678740501404,0.6697247624397278,0.39449542760849
