hyperparameters,languages,1_translated,1_untranslated,2_translated,2_untranslated,3_translated,3_untranslated
bert-base-multilingual-cased,en,,0.6652542501688004,,0.6483050882816315,,0.6313559412956238
8,lv,0.6906779706478119,0.6228813678026199,0.7118644267320633,0.6610169410705566,0.6271186321973801,0.33474575728178024
20,ru,0.6694915443658829,0.6864406764507294,0.75,0.7245762795209885,0.6271186470985413,0.4449152573943138
0.0001,et,0.6016949266195297,0.5932203382253647,0.7457627207040787,0.6610169559717178,0.644067794084549,0.3855932205915451
200,lt,0.6271186470985413,0.5889830440282822,0.7203390002250671,0.6694915294647217,0.6101694852113724,0.33898305147886276
