hyperparameters,languages,1_translated,1_untranslated,2_translated,2_untranslated,3_translated,3_untranslated
xlm-roberta-base,en,,0.4237288236618042,,0.694915235042572,,0.6440678238868713
8,lv,0.37288135290145874,0.508474588394165,0.694915235042572,0.7288135886192322,0.4576271176338196,0.32203391194343567
20,ru,0.35593220591545105,0.4406779706478119,0.7118644118309021,0.6779661178588867,0.4237288236618042,0.38983049988746643
0.0001,et,0.32203391194343567,0.4406779706478119,0.7457627058029175,0.6271186470985413,0.508474588394165,0.37288135290145874
200,lt,0.6271186470985413,0.508474588394165,0.7966101765632629,0.6779661178588867,0.5932203531265259,0.32203391194343567
