hyperparameters,languages,1_translated,1_untranslated,2_translated,2_untranslated,3_translated,3_untranslated
bert-base-multilingual-cased,en,,0.8073394298553467,,0.8256880640983582,,0.853210985660553
16,lv,0.752293586730957,0.8256880640983582,0.78899085521698,0.8165137767791748,0.7798165082931519,0.642201840877533
20,ru,0.7981651425361633,0.7706422209739685,0.752293586730957,0.7798165082931519,0.7706422209739685,0.752293586730957
0.0001,et,0.8256880640983582,0.8440366983413696,0.7981651425361633,0.7706422209739685,0.7981651425361633,0.6880733966827393
200,lt,0.7981651425361633,0.8165137767791748,0.78899085521698,0.7981651425361633,0.7706422209739685,0.5321100950241089
