hyperparameters,languages,1_translated,1_untranslated,2_translated,2_untranslated,3_translated,3_untranslated
bert-base-multilingual-cased,en,,0.9127358347177505,,0.8915094435214996,,0.9504716992378235
16,lv,0.8962264209985733,0.9433962553739548,0.926886796951294,0.9457547217607498,0.9386792480945587,0.8608490526676178
20,ru,0.9150943458080292,0.9245283007621765,0.9316037893295288,0.9316037744283676,0.9245283007621765,0.919811338186264
0.0001,et,0.9056603908538818,0.8726415187120438,0.9127358347177505,0.8938679248094559,0.9245283007621765,0.6226415038108826
200,lt,0.9386792480945587,0.948113203048706,0.9150943458080292,0.941037729382515,0.915094330906868,0.7452830225229263
