hyperparameters,languages,1_translated,1_untranslated,2_translated,2_untranslated,3_translated,3_untranslated
bert-base-multilingual-cased,en,,0.8256880789995193,,0.832568809390068,,0.8256880640983582
16,lv,0.7935779988765717,0.8233945071697235,0.8050458878278732,0.8233945071697235,0.7935779839754105,0.5412843972444534
20,ru,0.7889908254146576,0.7866972535848618,0.7591743171215057,0.7958715707063675,0.7958715707063675,0.6422018259763718
0.0001,et,0.8096330314874649,0.8325688242912292,0.7981651425361633,0.7706422060728073,0.8004587292671204,0.5779816508293152
200,lt,0.802752286195755,0.7866972535848618,0.8073394745588303,0.7752293646335602,0.7844036817550659,0.555045872926712
