hyperparameters,languages,1_translated,1_untranslated,2_translated,2_untranslated,3_translated,3_untranslated
bert-base-multilingual-cased,en,,0.78899085521698,,0.8165137767791748,,0.8256880640983582
16,lv,0.78899085521698,0.8165137767791748,0.7981651425361633,0.8440366983413696,0.8073394298553467,0.5412843823432922
20,ru,0.8348624110221863,0.8165137767791748,0.752293586730957,0.8165137767791748,0.7981651425361633,0.6513761281967163
0.0001,et,0.78899085521698,0.8348624110221863,0.8165137767791748,0.7706422209739685,0.78899085521698,0.5779816508293152
200,lt,0.8256880640983582,0.7798165082931519,0.78899085521698,0.7247706651687622,0.8073394298553467,0.5963302850723267
