hyperparameters,languages,1_translated,1_untranslated,2_translated,2_untranslated,3_translated,3_untranslated
xlm-roberta-base,en,,0.7385321259498596,,0.7889908403158188,,0.7110091596841812
16,lv,0.6857798397541046,0.6490825712680817,0.7844036817550659,0.7591743320226669,0.7293578088283539,0.44954127818346024
20,ru,0.6605504751205444,0.7087156027555466,0.7660550475120544,0.7591743171215057,0.6651376187801361,0.5183486267924309
0.0001,et,0.6353211104869843,0.7316513657569885,0.7591743171215057,0.779816523194313,0.6766054928302765,0.5206421986222267
200,lt,0.6949541121721268,0.6169724762439728,0.775229349732399,0.7499999850988388,0.6788990944623947,0.4472477063536644
