hyperparameters,languages,1_translated,1_untranslated,2_translated,2_untranslated,3_translated,3_untranslated
xlm-roberta-base,en,,0.7339449524879456,,0.8073394298553467,,0.7431192398071289
16,lv,0.6788991093635559,0.6880733966827393,0.78899085521698,0.78899085521698,0.7247706651687622,0.5596330165863037
20,ru,0.7064220309257507,0.7247706651687622,0.7798165082931519,0.752293586730957,0.7064220309257507,0.5779816508293152
0.0001,et,0.6788991093635559,0.7706422209739685,0.78899085521698,0.7798165082931519,0.6972476840019226,0.60550457239151
200,lt,0.6972476840019226,0.60550457239151,0.8073394298553467,0.7614678740501404,0.6605504751205444,0.5596330165863037
