hyperparameters,languages,1_translated,1_untranslated,2_translated,2_untranslated,3_translated,3_untranslated
xlm-roberta-base,en,,0.5254237055778503,,0.6610169410705566,,0.508474588394165
8,lv,0.4237288236618042,0.508474588394165,0.6610169410705566,0.6610169410705566,0.47457626461982727,0.3050847351551056
20,ru,0.37288135290145874,0.5593220591545105,0.6779661178588867,0.6101694703102112,0.4237288236618042,0.32203391194343567
0.0001,et,0.4237288236618042,0.4406779706478119,0.6271186470985413,0.6779661178588867,0.4576271176338196,0.3050847351551056
200,lt,0.6440678238868713,0.49152541160583496,0.6440678238868713,0.6271186470985413,0.5932203531265259,0.23728813230991364
