hyperparameters,1_translated,1_untranslated,2_translated,2_untranslated,3_translated,3_untranslated
xlm-roberta-base,,0.508474588394165,,0.49152541160583496,,0.38983049988746643
8,0.37288135290145874,0.38983049988746643,0.6610169410705566,0.49152541160583496,0.2711864411830902,0.20338982343673706
20,0.49152541160583496,0.2881355881690979,0.7627118825912476,0.5593220591545105,0.4067796468734741,0.18644067645072937
0.0001,0.4067796468734741,0.33898305892944336,0.694915235042572,0.4576271176338196,0.37288135290145874,0.20338982343673706
200,0.37288135290145874,0.49152541160583496,0.6271186470985413,0.5932203531265259,0.35593220591545105,0.16949152946472168
