hyperparameters,1_translated,1_untranslated,2_translated,2_untranslated,3_translated,3_untranslated
bert-base-multilingual-cased,,0.6101694703102112,,0.6101694703102112,,0.6101694703102112
8,0.5593220591545105,0.5593220591545105,0.7288135886192322,0.47457626461982727,0.4406779706478119,0.32203391194343567
20,0.5762711763381958,0.6440678238868713,0.7118644118309021,0.6440678238868713,0.5254237055778503,0.37288135290145874
0.0001,0.7118644118309021,0.5254237055778503,0.6440678238868713,0.5932203531265259,0.5423728823661804,0.37288135290145874
200,0.5254237055778503,0.6101694703102112,0.6271186470985413,0.5423728823661804,0.5254237055778503,0.47457626461982727
