hyperparameters,1_translated,1_untranslated,2_translated,2_untranslated,3_translated,3_untranslated
bert-base-multilingual-cased,,0.8073394298553467,,0.853210985660553,,0.752293586730957
16,0.78899085521698,0.8165137767791748,0.7798165082931519,0.7981651425361633,0.752293586730957,0.4128440320491791
20,0.7431192398071289,0.7798165082931519,0.8165137767791748,0.7706422209739685,0.7431192398071289,0.4862385392189026
0.0001,0.8073394298553467,0.7339449524879456,0.8165137767791748,0.7706422209739685,0.7614678740501404,0.4954128563404083
200,0.7614678740501404,0.7339449524879456,0.7981651425361633,0.7614678740501404,0.7614678740501404,0.4678899049758911
