hyperparameters,1_translated,1_untranslated,2_translated,2_untranslated,3_translated,3_untranslated
xlm-roberta-base,,0.3211009204387665,,0.78899085521698,,0.5596330165863037
16,0.6605504751205444,0.5504587292671204,0.6788991093635559,0.7431192398071289,0.60550457239151,0.3761467933654785
20,0.5229358077049255,0.5504587292671204,0.7247706651687622,0.752293586730957,0.6238532066345215,0.35779815912246704
0.0001,0.43119266629219055,0.6697247624397278,0.7431192398071289,0.7155963182449341,0.6513761281967163,0.29357796907424927
200,0.5321100950241089,0.5321100950241089,0.6697247624397278,0.7339449524879456,0.6697247624397278,0.4220183491706848
