hyperparameters,1_translated,1_untranslated,2_translated,2_untranslated,3_translated,3_untranslated
xlm-roberta-base,,0.7247706651687622,,0.8165137767791748,,0.642201840877533
16,0.6972476840019226,0.7431192398071289,0.7155963182449341,0.7247706651687622,0.60550457239151,0.302752286195755
20,0.78899085521698,0.7064220309257507,0.7155963182449341,0.7614678740501404,0.6238532066345215,0.40366971492767334
0.0001,0.6513761281967163,0.642201840877533,0.7247706651687622,0.7064220309257507,0.5412843823432922,0.3211009204387665
200,0.7431192398071289,0.5321100950241089,0.752293586730957,0.7339449524879456,0.642201840877533,0.3211009204387665
