hyperparameters,1_translated,1_untranslated,2_translated,2_untranslated,3_translated,3_untranslated
bert-base-multilingual-cased,,0.9433962106704712,,0.8867924809455872,,0.9339622855186462
24,0.9339622855186462,0.8773584961891174,0.9056603908538818,0.9905660152435303,0.8867924809455872,0.6698113083839417
20,0.9150943160057068,0.9056603908538818,0.8301886916160583,0.9433962106704712,0.9150943160057068,0.8867924809455872
0.001,0.9339622855186462,0.8773584961891174,0.9245283007621765,0.8679245114326477,0.9056603908538818,0.6132075190544128
200,0.9056603908538818,0.9622641801834106,0.9245283007621765,0.9433962106704712,0.9339622855186462,0.6698113083839417
