hyperparameters,1_translated,1_untranslated,2_translated,2_untranslated,3_translated,3_untranslated
bert-base-multilingual-cased,,0.6440678238868713,,0.7796609997749329,,0.5762711763381958
8,0.5762711763381958,0.6271186470985413,0.7288135886192322,0.6779661178588867,0.6271186470985413,0.2711864411830902
20,0.6101694703102112,0.6101694703102112,0.7627118825912476,0.7118644118309021,0.694915235042572,0.37288135290145874
0.0001,0.5932203531265259,0.5593220591545105,0.7118644118309021,0.7288135886192322,0.6610169410705566,0.3050847351551056
200,0.5932203531265259,0.5423728823661804,0.7288135886192322,0.7457627058029175,0.6101694703102112,0.37288135290145874
