hyperparameters,1_translated,1_untranslated,2_translated,2_untranslated,3_translated,3_untranslated
xlm-roberta-base,,0.9528301954269409,,0.9622641801834106,,0.9339622855186462
24,0.8962264060974121,0.9433962106704712,0.9339622855186462,0.9245283007621765,0.9056603908538818,0.8867924809455872
20,0.8773584961891174,0.9433962106704712,0.9245283007621765,0.9339622855186462,0.8679245114326477,0.8962264060974121
0.001,0.8773584961891174,0.9245283007621765,0.9245283007621765,0.9056603908538818,0.9245283007621765,0.6886792182922363
200,0.8962264060974121,0.9150943160057068,0.9622641801834106,0.9433962106704712,0.9622641801834106,0.7547169923782349
