hyperparameters,1_translated,1_untranslated,2_translated,2_untranslated,3_translated,3_untranslated
xlm-roberta-base,,0.5762711763381958,,0.5932203531265259,,0.5254237055778503
8,0.47457626461982727,0.5254237055778503,0.6271186470985413,0.6610169410705566,0.47457626461982727,0.2542372941970825
20,0.35593220591545105,0.37288135290145874,0.5423728823661804,0.5762711763381958,0.4067796468734741,0.2711864411830902
0.0001,0.3050847351551056,0.4406779706478119,0.508474588394165,0.5932203531265259,0.32203391194343567,0.38983049988746643
200,0.35593220591545105,0.5762711763381958,0.5254237055778503,0.5593220591545105,0.35593220591545105,0.23728813230991364
