hyperparameters,1_translated,1_untranslated,2_translated,2_untranslated,3_translated,3_untranslated
bert-base-multilingual-cased,,0.8256880640983582,,0.7706422209739685,,0.752293586730957
16,0.78899085521698,0.78899085521698,0.7706422209739685,0.8073394298553467,0.8165137767791748,0.5045871734619141
20,0.7247706651687622,0.7706422209739685,0.8348624110221863,0.7798165082931519,0.7981651425361633,0.5779816508293152
0.0001,0.7339449524879456,0.7798165082931519,0.7798165082931519,0.7064220309257507,0.8256880640983582,0.5229358077049255
200,0.7339449524879456,0.7247706651687622,0.7981651425361633,0.7798165082931519,0.7981651425361633,0.4954128563404083
