hyperparameters,1_translated,1_untranslated,2_translated,2_untranslated,3_translated,3_untranslated
xlm-roberta-base,,0.7155963182449341,,0.7981651425361633,,0.7431192398071289
16,0.6605504751205444,0.6605504751205444,0.7431192398071289,0.7339449524879456,0.642201840877533,0.5963302850723267
20,0.7155963182449341,0.7155963182449341,0.7798165082931519,0.7614678740501404,0.752293586730957,0.5688073635101318
0.0001,0.6880733966827393,0.78899085521698,0.8165137767791748,0.7706422209739685,0.6238532066345215,0.5412843823432922
200,0.7064220309257507,0.5963302850723267,0.8073394298553467,0.752293586730957,0.6513761281967163,0.5045871734619141
