hyperparameters,1_translated,1_untranslated,2_translated,2_untranslated,3_translated,3_untranslated
xlm-roberta-base,,0.9528301954269409,,0.9716981053352356,,0.9622641801834106
24,0.8867924809455872,0.9150943160057068,0.9056603908538818,0.9433962106704712,0.9339622855186462,0.7830188870429993
20,0.9245283007621765,0.9150943160057068,0.9528301954269409,0.9528301954269409,0.9528301954269409,0.9433962106704712
0.001,0.9528301954269409,0.9528301954269409,0.9433962106704712,0.8773584961891174,0.9245283007621765,0.801886796951294
200,0.8867924809455872,0.9056603908538818,0.9339622855186462,0.9245283007621765,0.8962264060974121,0.7169811129570007
