hyperparameters,1_translated,1_untranslated,2_translated,2_untranslated,3_translated,3_untranslated
bert-base-multilingual-cased,,0.8256880640983582,,0.78899085521698,,0.78899085521698
16,0.7981651425361633,0.7981651425361633,0.7339449524879456,0.8256880640983582,0.8165137767791748,0.4587155878543854
20,0.7798165082931519,0.7155963182449341,0.7798165082931519,0.78899085521698,0.853210985660553,0.6605504751205444
0.0001,0.8073394298553467,0.7798165082931519,0.7981651425361633,0.8256880640983582,0.8073394298553467,0.5137614607810974
200,0.8165137767791748,0.7247706651687622,0.8073394298553467,0.8073394298553467,0.8165137767791748,0.5504587292671204
