hyperparameters,1_translated,1_untranslated,2_translated,2_untranslated,3_translated,3_untranslated
bert-base-multilingual-cased,,0.6779661178588867,,0.6779661178588867,,0.694915235042572
8,0.6779661178588867,0.6271186470985413,0.7288135886192322,0.6271186470985413,0.6271186470985413,0.38983049988746643
20,0.694915235042572,0.7288135886192322,0.7627118825912476,0.6101694703102112,0.6440678238868713,0.508474588394165
0.0001,0.6101694703102112,0.6271186470985413,0.7966101765632629,0.7457627058029175,0.6101694703102112,0.4237288236618042
200,0.6610169410705566,0.6610169410705566,0.7627118825912476,0.6610169410705566,0.6779661178588867,0.4067796468734741
