hyperparameters,1_translated,1_untranslated,2_translated,2_untranslated,3_translated,3_untranslated
bert-base-multilingual-cased,,1.0,,1.0,,1.0
6,1.0,1.0,1.0,1.0,0.976190447807312,0.5952380895614624
20,1.0,1.0,1.0,1.0,0.8809523582458496,0.5476190447807312
0.0001,1.0,1.0,1.0,1.0,0.9285714030265808,0.5952380895614624
200,1.0,1.0,1.0,1.0,0.9047619104385376,0.6666666865348816
