hyperparameters,languages,1_translated,1_untranslated,2_translated,2_untranslated,3_translated,3_untranslated
bert-base-multilingual-cased,en,,0.6440678238868713,,0.6779661178588867,,0.6101694703102112
8,lv,0.6779661178588867,0.5762711763381958,0.6440678238868713,0.6610169410705566,0.694915235042572,0.3050847351551056
20,ru,0.6779661178588867,0.694915235042572,0.7288135886192322,0.7457627058029175,0.6440678238868713,0.4406779706478119
0.0001,et,0.5593220591545105,0.6101694703102112,0.6779661178588867,0.7118644118309021,0.694915235042572,0.4237288236618042
200,lt,0.6271186470985413,0.49152541160583496,0.6779661178588867,0.6610169410705566,0.6610169410705566,0.2881355881690979
