hyperparameters,languages,1_translated,1_untranslated,2_translated,2_untranslated,3_translated,3_untranslated
xlm-roberta-base,en,,0.9528301954269409,,0.9528301954269409,,0.9622641801834106
24,lv,0.9150943160057068,0.8867924809455872,0.9339622855186462,0.9339622855186462,0.9433962106704712,0.8584905862808228
20,ru,0.9245283007621765,0.9433962106704712,0.8867924809455872,0.9433962106704712,0.9150943160057068,0.9056603908538818
0.001,et,0.8867924809455872,0.9150943160057068,0.8867924809455872,0.8962264060974121,0.9150943160057068,0.6320754885673523
200,lt,0.9245283007621765,0.9150943160057068,0.9150943160057068,0.9339622855186462,0.9056603908538818,0.7735849022865295
