hyperparameters,1_translated,1_untranslated,2_translated,2_untranslated,3_translated,3_untranslated
xlm-roberta-base,,0.3333333432674408,,0.8571428656578064,,0.380952388048172
6,0.523809552192688,0.3333333432674408,0.8571428656578064,0.738095223903656,0.4047619104385376,0.2857142984867096
20,0.3333333432674408,0.3333333432674408,0.8095238208770752,0.738095223903656,0.523809552192688,0.3571428656578064
1e-05,0.4285714328289032,0.3571428656578064,0.9047619104385376,0.738095223903656,0.5,0.3333333432674408
200,0.3333333432674408,0.3333333432674408,0.8809523582458496,0.738095223903656,0.5,0.3095238208770752
