hyperparameters,1_translated,1_untranslated,2_translated,2_untranslated,3_translated,3_untranslated
bert-base-multilingual-cased,,0.9047619104385376,,1.0,,0.9523809552192688
6,0.9047619104385376,0.8333333134651184,1.0,0.976190447807312,0.6666666865348816,0.4523809552192688
20,0.8333333134651184,0.738095223903656,1.0,1.0,0.738095223903656,0.5952380895614624
1e-05,0.8809523582458496,0.761904776096344,1.0,0.9523809552192688,0.8571428656578064,0.523809552192688
200,0.6666666865348816,0.9285714030265808,1.0,1.0,0.8333333134651184,0.5
