hyperparameters,1_translated,1_untranslated,2_translated,2_untranslated,3_translated,3_untranslated
xlm-roberta-base,,0.853210985660553,,0.8165137767791748,,0.44954127073287964
6,0.47706422209739685,0.5137614607810974,0.7431192398071289,0.6238532066345215,0.5504587292671204,0.19266055524349213
20,0.642201840877533,0.78899085521698,0.7431192398071289,0.7064220309257507,0.5596330165863037,0.22018349170684814
0.0001,0.7155963182449341,0.6972476840019226,0.78899085521698,0.642201840877533,0.5321100950241089,0.2293577939271927
200,0.5871559381484985,0.6330274939537048,0.7614678740501404,0.7064220309257507,0.4862385392189026,0.22018349170684814
