hyperparameters,1_translated,1_untranslated,2_translated,2_untranslated,3_translated,3_untranslated
bert-base-multilingual-cased,,0.7981651425361633,,0.78899085521698,,0.8073394298553467
6,0.8073394298553467,0.7614678740501404,0.7155963182449341,0.7431192398071289,0.78899085521698,0.4220183491706848
20,0.7706422209739685,0.8348624110221863,0.7431192398071289,0.7431192398071289,0.7798165082931519,0.5045871734619141
0.0001,0.7981651425361633,0.7431192398071289,0.7339449524879456,0.7064220309257507,0.7706422209739685,0.4678899049758911
200,0.78899085521698,0.7614678740501404,0.7155963182449341,0.8256880640983582,0.7981651425361633,0.43119266629219055
