hyperparameters,1_translated,1_untranslated,2_translated,2_untranslated,3_translated,3_untranslated
xlm-roberta-base,,0.37288135290145874,,0.6271186470985413,,0.4576271176338196
6,0.49152541160583496,0.33898305892944336,0.7457627058029175,0.508474588394165,0.4576271176338196,0.23728813230991364
20,0.4237288236618042,0.38983049988746643,0.6610169410705566,0.5762711763381958,0.37288135290145874,0.2881355881690979
0.0001,0.33898305892944336,0.32203391194343567,0.7457627058029175,0.5593220591545105,0.35593220591545105,0.2711864411830902
200,0.37288135290145874,0.47457626461982727,0.6779661178588867,0.5423728823661804,0.38983049988746643,0.3050847351551056
