hyperparameters,1_translated,1_untranslated,2_translated,2_untranslated,3_translated,3_untranslated
bert-base-multilingual-cased,,0.5593220591545105,,0.6440678238868713,,0.47457626461982727
6,0.5254237055778503,0.5254237055778503,0.7457627058029175,0.6101694703102112,0.6440678238868713,0.35593220591545105
20,0.6610169410705566,0.694915235042572,0.7288135886192322,0.6610169410705566,0.5932203531265259,0.2542372941970825
0.0001,0.6440678238868713,0.5932203531265259,0.7288135886192322,0.6101694703102112,0.6271186470985413,0.2881355881690979
200,0.5593220591545105,0.508474588394165,0.694915235042572,0.6610169410705566,0.5932203531265259,0.2711864411830902
