hyperparameters,1_translated,1_untranslated,2_translated,2_untranslated,3_translated,3_untranslated
bert-base-multilingual-cased,,0.6698113083839417,,0.8301886916160583,,0.801886796951294
24,0.6792452931404114,0.7735849022865295,0.9433962106704712,0.8301886916160583,0.801886796951294,0.6132075190544128
20,0.7452830076217651,0.7547169923782349,0.8679245114326477,0.8207547068595886,0.7924528121948242,0.7358490824699402
1e-05,0.6698113083839417,0.6698113083839417,0.8962264060974121,0.8113207817077637,0.7924528121948242,0.5471698045730591
100,0.6698113083839417,0.6698113083839417,0.9056603908538818,0.849056601524353,0.7452830076217651,0.698113203048706
